CODIGO_INEP,NOME_ESCOLA,1º ANO,2º ANO,3º ANO,4º ANO,5º ANO,6º ANO,7º ANO,8º ANO,9º ANO,1ª SÉRIE,2ª SÉRIE,3ª SÉRIE,ENSINO FUNDAMENTAL (ANOS INICIAIS),ENSINO FUNDAMENTAL (ANOS FINAIS),ENSINO MÉDIO,TOTAL
25114433,EEEFM SENADOR HUMBERTO LUCENA,,,,,,,38,35,37,76,106,69,,110,251,361
25114808,EECI PROFESSOR ITAN PEREIRA,,,,,,,,20,55,102,104,92,,75,298,373
25114905,ECI EEFM MILTON CAMPOS,,,,,,,,,,54,73,54,,,181,181
25117459,EECIT PREFEITO WILLIAMS DE SOUSA ARRUDA,,,,,,15,22,20,17,14,10,7,,74,31,105
25117688,EECI IRMÃ STEFANIE,,,,,,,33,38,36,55,32,18,,107,105,212
25117700,EEEFM SEVERINO BARBOSA CAMELO,,,,,,,,,16,74,60,49,,16,183,199
25118579,ESCOLA CIDADÃ INTEGRAL ESTADUAL DE ENSINO MÉDIO PREFEITO SEVERINO PEREIRA GOMES,,,,,,,,,,63,64,33,,,160,160
25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,,,,,,58,44,41,87,151,76,50,,230,277,507
25120859,EECI PROF MARIA JOSE COSTA DE ALBUQUERQUE,,,,,,,,,,46,32,41,,,119,119
25122401,EEEFM SEVERINA RAMOS DE OLIVEIRA,,,,,,,,,,107,88,71,,,266,266
25122533,ECI EEFM DOUTOR GUSTAVO FERNANDES DE LIMA SOBRINHO,,,,,,33,42,52,58,32,,,,185,32,217
25123297,EECI MARIA ELIDIA RANGEL,,,,,,,,,,39,44,30,,,113,113
25127659,ECI EE FM PEDRO HENRIQUE DA SILVA,,,,,,12,17,14,14,24,15,18,,57,57,114
25128418,ECI HELITON SANTANA,,,,,,,,,,48,59,45,,,152,152
25136119,ECIS PEDRO PIRES DANTAS,,,,,,2,5,2,1,1,2,,,10,3,13
25136143,ECIS PROFESSOR WALTER GOMES DE ALBUQUERQUE,,,,,,7,4,9,3,6,1,1,,23,8,31
25152823,EECI EUCLIDES MOUZINHO DOS SANTOS,,,,,,,,,,50,55,30,,,135,135
